f,v
174.315,-5.03864
41.2296,7.55135
64.4156,-0.72424
125.304,-2.03673
117.242,-1.89522
175.178,5.01945
150.297,5.50485
188.352,3.31485
126.6,-2.05933
182.774,3.15509
183.051,-4.8293
180.988,-4.88225
127.756,5.88798
46.2425,7.41967
77.3844,-1.09863
142.348,-2.3345
54.0032,-0.0245726
81.9191,-1.20604
182.946,4.83207
114.087,-1.83915
82.7674,6.65275
196.086,4.37176
189.2,4.6509
97.1048,-1.52415
180.904,-3.10691
132.847,2.16812
191.176,-3.40964
193.141,3.48472
198.732,-4.17773
105.144,6.26334
198.79,-3.82345
34.8632,7.73549
199.162,-3.87406
126.106,-2.05073
83.8887,1.25046
190.066,3.37084
68.0107,-6.93395
131.847,5.81996
114.941,-6.10001
174.087,2.94598
30.5691,-7.87369
191.443,4.574
193.737,3.50958
76.1411,1.0677
122.65,5.9725
164.891,2.75279
199.528,-4.01804
191.817,3.43311
153.597,-2.53692
175.462,5.01309
167.97,2.81522
150.666,-5.49832
199.239,3.88739
173.253,-5.06191
84.6836,6.61801
57.7158,0.43031
155.449,-2.57121
197.615,3.71806
198.989,-4.14621
40.1085,-7.58227
184.252,-4.79717
186.516,3.25905
197.957,4.25021
161.1,5.30742
73.6451,-1.00324
103.723,-6.28727
91.8983,1.42052
199.538,-3.99754
67.6121,0.830339
97.1961,6.39823
121.286,1.96646
188.796,3.32896
182.473,4.84441
184.748,4.78356
70.2423,6.88959
187.811,4.69466
168.121,5.16967
178.245,-3.04172
123.485,2.00496
57.8237,-0.436539
131.433,-2.1435
189.428,-4.64344
199.517,-4.02629
113.111,-6.13036
192.858,4.52024
109.86,6.18443
191.722,4.5638
97.0614,1.52331
192.646,-3.46487
123.047,-5.96593
184.888,-4.77969
167.364,-5.18501
157.575,2.61104
143.309,5.62648
166.188,2.77885
151.373,-5.48577
34.6037,-7.74348
196.064,3.62114
199.122,3.86772
197.081,-4.31288
24.8017,-8.08388
121.019,5.99945
198.52,-3.79433
191.803,-4.56077
186.034,-3.24499
135.688,5.75573
198.976,-4.14797
185.722,-3.23598
115.125,-6.09696
75.7352,1.05744
128.097,-5.88232
199.232,3.8862
188.118,-4.68518
68.8326,-0.867744
126.291,5.91225
69.0481,6.91324
158.932,-2.63676
159.428,5.33895
142.146,-5.6464
125.02,-2.03177
197.143,4.30881
175.245,-5.01796
58.7351,0.486071
191.24,-4.58135
113.442,6.12486
154.273,-2.5494
176.246,2.99486
190.717,4.59988
197.708,4.26945
76.5019,-1.07675
155.919,-5.40386
198.061,-4.24166
165.82,5.21589
182.736,4.83756
96.2545,1.50753
54.0358,0.0470357
110.317,-1.77139
98.5181,1.55156
176.497,-4.98959
138.915,-2.27412
198.383,-3.78107
93.4175,6.46348
183.783,-4.80985
184.628,3.20516
195.113,3.57219
136.615,-5.74015
158.539,5.35556
191.26,3.41266
10.7579,-8.83324
195.121,3.57255
64.2326,-0.717735
199.393,3.92076
155.739,-5.40715
102.179,1.62134
199.227,3.88519
199.522,-4.02257
151.763,2.50327
199.459,4.05372
183.791,-4.80962
155.771,-2.57722
24.176,8.10883
55.0066,-0.224166
69.1088,0.876011
137.337,2.24647
157.907,5.3673
142.566,-5.63921
73.0643,6.83454
109.109,-1.74948
15.72,-8.50842
69.1298,6.91161
194.821,-4.43569
192.14,3.44528
127.344,-5.8948
198.221,-4.22807
199.475,-4.04772
185.317,-3.22447
178.937,3.05834
59.8907,0.542605
122.582,-5.97362
122.211,1.98267
147.713,5.55027
194.097,-4.46854
12.8566,8.68343
191.963,4.5548
151.549,2.49937
172.576,-5.07656
198.482,3.79058
162.134,-2.6984
123.441,5.95942
127.625,-2.07719
107.634,1.72257
95.7859,1.49832
183.369,4.8209
191.43,4.57449
177.83,-4.9587
58.981,7.12212
145.223,2.38548
152.515,-5.4654
199.201,-3.88055
43.1465,7.49979
47.6528,-7.38435
183.04,4.82959
45.999,7.42584
178.666,-4.93894
132.058,-2.15438
189.918,-3.36584
195.034,-4.42555
138.197,5.71348
197.792,-3.73127
161.52,-2.68648
176.64,-4.98631
54.7439,0.192965
168.866,-2.83375
193.16,4.50813
154.589,-5.42806
143.341,-5.62593
101.734,-1.61293
192.029,-3.4411
199.383,4.07642
190.99,-3.40297
181.634,-4.86595
176.66,-3.00442
94.2677,1.46825
195.866,4.3836
118.147,-1.91121
199.42,4.06641
199.081,-4.13316
182.943,3.15954
90.8246,6.50877
144.385,5.60797
62.825,0.665728
166.565,2.78649
70.1591,-0.906844
196.234,-3.63051
193.467,-4.49548
103.834,6.28539
172.847,5.07072
157.967,5.36618
199,4.14472
180.738,3.10273
183.463,-3.1734
199.391,3.92036
75.4538,-1.05028
110.185,6.17902
184.929,4.77855
183.564,-4.8157
172.334,2.90743
